paper_id,title
1194,Semantics-based compiler transformations for enhanced schedulability.
1196,Compiling real-time programs into schedu-lable code.
1197,Interprocedural slicing using dependence graphs.
1199,"""Safety analysis of timing properties in real-time systems,"""
1213,Efficient superscalar performance through boosting.
1221,Updating and Structure in Non-Monotonic Theories.
1223,"contradictory sources in common-sense learning by being told; or,"
1237,"Toward Learning Systems That Integrate Different Strategies and Representations. In: Artificial Intelligence and Neural Networks: Steps toward Principled Integration. Honavar,"
1238,"Introduction to Automata Theory, Languages and Computation."
1244,An Efficient Interactive Algorithm for Regular Language Learning.
1246,The Design and Analysis of Efficient Learning Algorithms.
1248,A Learning Apprentice for the World Wide Web.
1249,Learning information retrieval agents: Experiments with automated web browsing.
1250,Scalable Internet discovery: Research problems and approaches.
1253,Network-based information brokers.
1256,Exploiting run-time information for efficient processing of queries.
1257,Integrating planning and execution for information gathering.
1262,Cooperative Information Gathering: A Distributed Problem Solving Approach.
1263,Multi-service search and comparison using the MetaCrawler.
1265,An anytime computation approach to information gathering.
1266,LDL++ : A second-generation deductive database system.
1272,"""Induction of Decision Trees,"""
1283,"Software Reuse by Specialization of Generic Procedures through Views,"
1284,"""Automatic Analysis of Consistency between Implementations and Requirements""."
1297,Task Assignment on Distributed-Memory Systems with Adaptive Wormhole Routing.
1306,"Introduction to Parallel and Vector Solution of Linear Systems,"
1319,"Creating Highly Interactive and Graphical User Interfaces by Demonstration. Proceedings of SIGGRAPH 86 (Dallas, T exas, August 18-22,"
1327,Compiling programs for distributed-memory multiprocessors.
1331,"""Fortran D language specification."""
1340,An overview of the fortran-D programming system.
1341,"Compiler Support for Machine-Independent Parallel Programming in Fortran D,"
1357,The Dino parallel programming language.
1365,"Self-Organization and Associative Memory,"
1369,A Method for Skew-free Distribution of Digital Signals Using Matched Variable Delay Lines.
1371,Chitra94: A tool to dynamically characterize ensembles of traces for input data modeling and output analysis.
1372,The Quest Data Mining System.
1374,Graphical models for discovering knowledge.
1375,The development of a chaid-based model for chitra93.
1379,Understanding Planner Behavior.
1380,Constructing transition models of AI planner behavior.
1382,Discovering frequent episodes in sequences.
1383,Searching for planning operators with context-dependent and probabilistic effects.
1384,"Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference,"
1385,Learning coordinated behaviors for control of a simulated robot.
1386,Comparison of methods for improving search efficiency in a partial-order planner.
1388,A robust layered control system for a mobile robot.
1397,"Recovering shape by purposive viewpoint adjustment,"
1400,Affine surface reconstruction by purposive viewpoint control.
1402,"Vision-guided exploration: A step toward general motion planning in three dimensions,"
1404,The Cartesian Product Algorithm: Simple and Precise Type Inference of Parametric Polymorphism.
1405,Type Inference of Self: Analysis of Objects with Dynamic and Multiple Inheritance.
1407,A Practical and Flexible Flow Analysis for Higher-Order Languages.
1409,Fast Static Analysis of C++ Virtual Function Calls.
1411,Iterative type analysis and extended message split-ting: Optimizing dynamically-typed object-oriented programs.
1412,The Cecil Language: Specification and Rationale:
1414,Optimization of Object-Oriented Programs Using Static Class Hierarchy Analysis.
1415,"""Vortex: An Optimizing Compiler for Object-Oriented Languages."""
1416,Fast Interprocedural Class Analysis.
1418,Componential Set-Based Analysis.
1420,Call Graph Construction in Object Oriented Languages.
1421,Linear-Time Subtransitive Control Flow Analysis.
1424,A Unified Treatment of Flow Analysis in Higher-Order Languages.
1427,Making type inference practical.
1428,Precise Concrete Type Inference for Object-Oriented Languages.
1429,Control-Flow Analysis of Higher-Order Languages.
1431,Points-to Analysis in Almost Linear Time.
1454,Security Flaws in the HotJava Web Browser.
1461,Efficient Software-Based Fault Isolation.
1463,Nearly linear time approximation schemes for Euclidean TSP and other geometric problems.
1464,"""Polynomial time approximation schemes for dense instances of NP-Hard problems"","
1465,"Proof Verification and the hardness of approximation problems,"
1472,A parallel approximation algorithm for positive linear programming.
1474,"Optimization, approximation, and complexity classes."
1481,"Case-based reasoning: Foundational issues, methodological variations, and system approaches."
1485,Retrieving and integration data from multiple information sources.
1492,"Lesser A retrospective view of FA/C Distributed Problem Solving IEEE Transactions on Man,"
1493,"""Retrieval and Reasoning in Distributed Case Based Systems"","
1547,"Md a flexible framework for high-speed parallel molecular dynamics. In High Performance Computing,"
1553,The Synthesis kernel.
1560,Bpp has subexponential time simulations unless exptime has publishable proofs.
1563,On completeness and soundness in interactive proof systems.
1564,A sample of samplers | A computational perspective on sampling.
1565,The Knowledge Complexity of Interactive Proof Systems.
1569,"Symmetric alternation captures BPP. Computational Complexity,"
1573,"Simulating BPP using a general weak random source,"
1580,"Performance interactions between p-http and tcp implementation. http://www.isi.edu/lsam/publications/phttp tcp interactions/,"
1581,Source for this very useful program is available at ftp://mercury.lcs.mit.edu/pub/shep. S.M. thesis TCP Packet Trace Analysis. The thesis can be ordered from MIT/LCS Publications. Ordering information can be obtained from +1 617 253 5851 or send mail to publications@lcs.mit.edu. Ask for MIT/LCS/TR-494.
1583,"Congestion Avoidance and Control,"
1585,"Growth Trends in Wide-Area TCP Connections. Technical Reliable Stream Transmission in Mobile Computing Environments 14 Report,"
1600,Knapsack: A zero-cycle memory hierarchy component.
1605,"""Dynamic Base Register Caching: A Technique for Reducing Address Bus Width"","
1615,"M.D., ``Weak Ordering ANew Definition\'\',"
1616,"The NAS Parallel Benchmarks,"
1618,Techniques for reducing consistency-related communication in distributed shared-memory systems.
1619,Implementation and Performance of Munin.
1621,Faster sequential genetic linkage computations.
1622,Parallelization of general linkage analysis problems.
1623,Network-based concurrent computing on the PVM system.
1624,Memory consistency and event ordering in scalable shared-memory multiprocessors.
1627,Lazy release consistency for software distributed shared memory.
1628,Distributed shared memory on standard workstations and operating systems.
1632,"""Implications of Hierarchical N-Body Methods for Multiprocessor Architectures,"""
1643,R.J. Whitrow. Multiple word segmentation with interactive look-up for cursive script recognition.
1644,"R.J. Whitrow. Dynamic cursive script recognition. A hybrid approach. in Advances in Handwriting and Drawing: A multidisciplinary approach,"
1645,R.J. Whitrow. The use of word shape information for cursive script recognition.
1652,"Introduction to Algorithms,"
1657,Empirically evaluating the use of animations to teach algorithms.
1663,Scrambling query plans to cope with unexpected delays.
1669,"""A Multidatabase System Implementation on CORBA"","
1674,Query Optimization in Multidatabase Systems.
1681,"""Dynamic Query Optimization on a Distributed Object Management Platform"", M.Sc."
1688,"""Using DNA to solve NP-Complete Problems"","
1692,"""An Empirical Study of Greedy Local Search for Satisfiability Testing,"""
1694,"(1993) A NN Algorithm for Hard Satisfiability problems,"
1717,On convergence properties of the em algorithm for gaussian mixtures.
1718,Metric learning via normal mixtures.
1719,Mining Association Rules between Sets of Items in Large Databases.
1720,Fast discovery of association rules.
1728,A perspective on databases and data mining.
1730,Controlling the complexity of learning in logic through syntactic and task-oriented models.
1731,Finding Interesting Rules from Large Sets of Discovered Association Rules.
1745,An efficient algorithm for mining association rules in large databases.
1766,"Implementing Mathematics with the Nuprl Proof Development System,"
1783,Toward a plan steering agent: Experiments with schedule maintenance.
1786,A benchmark for classifier learning.
1788,"""Deriving Production Rules for Constraint Maintenance,"""
1800,A unified semantics for active and deductive databases.
1806,Constructive logics Part I: A tutorial on proof systems and typed -calculi.
1817,Hybrid Learning Using Genetic Algorithms and Decision Trees for Pattern Classification.
1819,"Optimal Geometric Model Matching Under Full 3D Perspective. Computer Vision and Image Understanding,"
1834,Hierarchical learning of reactive behaviors in an autonomous mobile robot using stochastic hillclimbing.
1838,"""A self-organizing representation of sensor space for mobile robot navigation"","
1844,Learning sac-cadic eye movements using multiscale spatial filters.
1845,The MIT Alewife machine: Architecture and performance.
1846,Incorporating Long Messages into the LogP model | One step closer towards a realistic model for parallel computation.
1847,Culler and the NOW Team. A case for networks of workstations: Now.
1848,High-performance sorting on networks of workstations.
1849,Empirical evaluation of the CRAY T3D: A compiler perspective.
1851,Virtual memory mapped network interface for the SHRIMP multicomputer.
1852,a gigabit per second local area network.
1855,Avalanche: A Communication and Memory Architecture for Scalable Parallel Computing.
1857,Parallel Programming in Split-C.
1858,LogP: Towards a Realistic Model of Parallel Computation.
1859,LogP performance assessment of fast network interfaces.
1860,Architectural requirements of parallel scientific applications with explicit communication.
1863,Fast parallel sorting under LogP: Experience with the CM-5.
1869,"The effects of latency, occupancy, and bandwidth in distributed shared memory multiprocessors."
1874,Dynamic Self-Invalidation: Reduc ing Coherence Overhead in Shared-Memory Multiprocessors.
1875,"The network architecture of the Connection Machine CM-5,"
1877,"""Towards Modeling the Performance of a Fast Connected Components Algorithm on Parallel Machines,"""
1878,An Active Message layer for a network of HP workstations.
1882,"User-Level Shared Memory,"
1883,Complete computer system simulation: the SimOS approach.
1888,Active Messages: a Mechanism for Integrated Communication and Computation.
1889,The SPLASH-2 programs: Characterization and methodological considerations.
1894,Probabilistic checking of proofs.
1896,"Naor ""Checking the Correctness of Memories"" FOCS 91."
1897,Designing programs that check their work.
1898,"Self-testing and self-correcting programs, with applications to numerical programs."
1900,Reflections on the Pentium division bug.
1902,Approximate checking of poly nomials and functional equations.
1903,Self testing without the generator bottleneck.
1904,Self--Testing/Correcting for Polynomials and for Approximate Functions.
1905,Property testing and its connection with learning and approximation.
1906,Property testing in bounded degree graphs.
1909,Efficient self testing/self-correction of linear recurrences.
1912,Testing polynomial functions efficiently and over rational domains.
1916,Fast planning through planning graph analysis.
1917,"Planning, learning and coordination in multiagent decision processes."
1919,The frame problem and Bayesian network action representations.
1920,Knowledge considerations in robotics and distribution of robotic tasks.
1922,"Rus Towards a Theory of Information Invariants for Cooperating Autonomous Mobile Robots,,"
1924,"Pushing the envelope: planning, propositional logic, and stochastic search."
1925,Force strategies for cooperative tasks in multiple mobile manipulation systems.
1926,Generating parallel execution plans with a partial-order planner.
1928,On Cooperation in a Multi-Entity Model.
1930,"""Natural actions, concurrency and continuous time in the situation calculus"","
1931,"""The frame problem in the situation calculus: A simple solution (sometimes) and a completeness result for goal regression"","
1932,"""An Introduction to Least Commitment Planning,"""
1939,"Computational Models of the Utility Problem and their Application to a Utility Analysis of Case-Based Reasoning,"
1949,Linking adaptation and similarity learning.
1951,Adaptive similarity assessment for case-based explanation.
1952,Combining rules and cases to learn case adaptation.
1953,Representing self-knowledge for introspection about memory search.
1955,"Machine Learning: A Multistrategy Approach,"
1956,"Inferential Theory of Learning: Developing Foundations for Multistrategy Learning, in Machine Learning: A Multistrategy Approach, Vol. IV, R.S."
1958,Metacognitive adaptation: Regulating the plan transformation process.
1959,Introspective Reasoning using Meta-Explanations for Multistrat-egy Learning.
1971,"Local liveness for compositional modeling of fair reactive systems. In Computer-aided Verification,"
1972,"Symbolic exploration of transition hierarchies. In TACAS 98: Tools and Algorithms for Construction and Analysis of Systems,"
1973,Mocha : Modularity in model checking.
1990,Symbolic Model Checking: An Approach to the State-Explosion Problem.
1997,Estimating the error rate of a prediction rule: improvement on cross-validation.
1999,Wrappers for Performance Enhancement and Oblivious Decision Graphs.
2007,"On the construction of multivariate (pre-) wavelets, Constructive Approximation,"
2020,"Tight frames of compactly supported affine wavelets,"
2025,Zuowei Shen (1995): Frames and stable bases for shift-invariant subspaces of L 2 (IR d ). Canad.
2026,"Weyl-Heisenberg frames and Riesz bases in L 2 (R d ), preprint (1994)."
2027,"A Computational Logic Handbook . Academic Press,"
2029,"Design Goals for ACL2,"
2034,Wait-freedom vs. t-resiliency and the robustness of the wait-free hierarchies.
2053,The Interaction of Architecture and Operating System Design.
2054,"Extensibility, safety and performance in the SPIN operating system."
2059,Java security: From hotjava to netscape and beyond.
2066,New security architectural directions for Java.
2068,Building systems that flexibly control downloaded executable context.
2077,Commentary on Standard ML.
2078,"Safe Kernel Extensions Without Run-Time Checking OSDI,"
2080,"""Why Aren\'t Operating Systems Getting Faster As Fast as Hardware?"" Proceedings of the 1990 Summer Usenix,"
2086,Dealing With Disaster: Surviving Misbehaving Kernel Extensions.
2091,Authentication in the taos operating system.
2101,"""Easy to use object-oriented parallel programming with Mentat,"""
2124,Uniform Generation of NP-witnesses using an NP-oracle.
2125,Making Zero-Knowledge Provers Efficient.
2132,A note on efficient zero-knowledge proofs and arguments.
2137,"Krawczyk ""Psuedorandom functions revisited: The cascade construction and its concrete security,"""
2138,New Hash Functions for Message Authentication.
2139,On Defining Proofs of Knowledge.
2140,Incremental cryptography: The case of hashing and signing.
2141,Incremental cryptography and application to virus protection.
2142,"""Pseudo-random"" Number Generation within Cryptographic Algorithms: the DSS Case."
2143,"""XOR MAcs: New methods for message authentication using finite pseudorandom functions,"""
2144,The security of cipher block chaining.
2145,How to Sign Given any Trapdoor Permutation.
2146,Random oracles are practical: a paradigm for designing efficient protocols.
2147,Entity authentica-tion and key distribution.
2148,"""Provably Secure Session Key Distribution The Three Party Case""; Proc."
2149,The exact security of digital signatures: How to sign with RSA and Rabin.
2157,Non-Interactive Zero-Knowledge with Preprocessing.
2161,"R.J. Lipton, ""On the Importance of Checking Cryptographic Protocols for Faults,"""
2167,"Unconditional security against memory-bounded adversaries,"
2168,"""Studies in Secure Multiparty Computation and Applications"","
2170,"manuscript. Available at the Theory of Cryptography Library,"
2171,"Incoercible Multiparty Computation,"
2172,"The random oracle model, revisited."
2174,"""How to Maintain Authenticated Communication"","
2181,Private information retrieval.
2190,Honest verifier vs. dishonest verifier in public coin zero-knowledge proofs.
2200,On the Security of Multi-party Ping-Pong Protocols.
2202,On-Line/Off-Line Digital Signatures.
2218,Robust threshold DSS signatures.
2219,"""Two remarks Concerning the GMR Signature Scheme"" MIT Tech."
2220,"Lecture Notes on Encryption, Signatures and Cryptographic Protocol."
2221,"""A Uniform-Complexity Treatment of Encryption and Zero-Knowledge"","
2222,"""Foundations of Cryptography (Fragments of a Book)"","
2227,How to Construct Constant-Round Zero-Knowledge Proof Systems for NP.
2228,On the Composition of Zero Knowledge Proof Systems.
2233,Software protection and simulation by oblivious RAMs.
2234,Honest verifier statistical zero-knowledge equals general statistical zero-knowledge.
2242,"""One-way Function and Pseudorandom Generators"","
2244,"""Proactive Public-Key and Signature Systems"","
2246,One-way Functions are Essential for Complexity-Based Cryptography.
2247,"Efficient Cryptographic Schemes Provably as Secure as Subset-Sum,"
2248,Limits on the Provable Consequences of One-way Functions.
2250,Security of blind digital signatures.
2252,An Efficient Non-Interactive Zero-Knowledge Proof Sys tem for NP with General Assumptions.
2268,Perfect zero knowledge arguments for NP can be based on general complexity assumptions.
2271,"""On the construction of pseudo-random permutations: Luby-Rackoff revisited.,"""
2277,One-Way Functions are Essential for Non-Trivial Zero-Knowledge.
2283,Properties of Payment Systems: General Definition Sketch and Classification.
2289,A method for obtaining digital and public-key cryptosystems.
2291,A complete promise problem for statistical zero-knowledge.
2301,"How to generate and exchange secrets,"
2326,"CAD-based Target Identification in Range, IR and Color Imagery Using On-Line Rendering and Feature Prediction."
2327,Approximate Image Mappings Between Nearly Boresight Aligned Optical and Range Sensors.
2333,Precise Matching of 3-D Target Models to Multisensor Data.
2341,Interleaving 3D Model Feature Prediction and Matching to Support Multi-Sensor Object Recognition.
2342,Reduction of BRL/CAD Models and Their Use in Automatic Target Recognition Algorithms.
2354,"A Statistical Approach to Solving the EBL Utility Problem,"
2357,PALO: A probabilistic hill climbing algorithm.
2376,The detection and elimination of useless misses in multiprocessors.
2378,Techniques for efficient inline tracing on a shared-memory multiprocessor.
2381,An Implementation of Interprocedural Bounded Regular Section Analysis.
2383,The Stanford DASH Multiprocessor.
2390,"SPLASH: Stanford parallel applications for shared-memory. Computer Architecture News,"
2395,"Generalized linear complementarity problems and interior point algorithms for their solutions.,"
2396,"A quadratic program based solver for mixed complementarity problems,"
2402,"The PATH solver: A non-monotone stabilization scheme for mixed complementarity problems. Optimization Methods and Software 5,"
2404,Crash techniques for large-scale complementarity problems.
2407,"Interfaces to PATH 3.0: Design, implementation and usage."
2428,"Efficient Domain-Independent Experimentation,"
2436,Revision of production system rule-bases.
2439,A symbolic solution to intelligent real-time control.
2440,Learning logical definitions from relations.
2443,Intelligent Agents for Interactive Simulation Environments.
2454,"""Supervised and Unsupervised Clustering of the speaker Space for connectionist Speech Recognition"","
2455,"A Gender-Dependent Neural Network for Continuous Speech Recognition "", IEEE IJCNN,"
2462,Mach: A New Kernel Foundation for UNIX Development.
2463,Efficient Language-Independent Mobile Programs.
2464,"``Virtual Memory Primitives for User Programs\'\',"
2470,Implementation and performance of application-controlled file caching.
2473,Sharing and protection in a single address space operating system.
2475,A Caching Model of Operating System Kernel Functionality.
2482,CPU Inheritance Scheduling.
2485,"\'Unix as an Application Program\',"
2487,"A Hierarchical CPU Scheduler for Multimedia Operating Systems,"
2500,Supporting Checkpointing and Process Migration outside the Unix Kernel.
2504,Scout: A communications-oriented operating system.
2508,An Integrated Platform for Operating System and Database Research.
2509,User-level checkpointing through exportable kernel state.
2510,A Secure Environment for Untrusted Helper Applications.
2511,Lottery scheduling: Flexible proportional-share resource management.
2514,"Communication Optimization and Code Generation for Distributed Memory Machines,"
2516,A Linear Algebra Framework for Static HPF Code Distribution.
2535,Applications-driven parallel i/o.
2536,PVM 3 user\'s guide and reference manual.
2537,"Compiling Fortran D for MIMD Distributed Memory Machines,"
2546,"PIOUS: A Scalable Parallel I/O System for Distributed Computing Environments,"
2550,An Optimizing Fortran D Compiler for MIMD Distributed-Memory Machines.
2552,Vienna Fortran | a Fortran language extension for distributed memory systems.
2568,"The Chemical Abstract Machine,"
2580,Axiomatizing reflective logics and languages.
2620,"""The Rewrite Rule Machine Node Architecture and Its Performance"","
2649,Parallel functional programming: an annotated bibliography.
2650,editors. Term Graph Rewriting. Theory and Practice.
2653,A Decision-theoretic Generalization of On-line Learning and an Application to Boosting.
2654,Experiments with a New Boosting Algorithm.
2658,A new learning algorithm for blind signal separation.
